segment;expected;best;best_score;hypotheses
1;Ⰾ;Ⰾ;0.991309;"[(""Ⰾ"", 0.9913), (""Ⰴ"", 0.9862), (""Ⰶ"", 0.9832), (""Ⰸ"", 0.9590), (""Ⰳ"", 0.9566), (""Ⱞ"", 0.9428), (""Ⰷ"", 0.9428), (""Ⱖ"", 0.9385), (""Ⱚ"", 0.9376), (""Ⱑ"", 0.9360)]"
2;Ⱓ;Ⱓ;0.97832;"[(""Ⱓ"", 0.9783), (""Ⰽ"", 0.8994), (""Ⱂ"", 0.8962), (""Ⰺ"", 0.8961), (""Ⱘ"", 0.8950), (""Ⰱ"", 0.8945), (""Ⱅ"", 0.8920), (""Ⰿ"", 0.8907), (""Ⰻ"", 0.8874), (""Ⰹ"", 0.8853)]"
3;Ⰱ;Ⰱ;0.983446;"[(""Ⰱ"", 0.9834), (""Ⱘ"", 0.9582), (""Ⱟ"", 0.9540), (""Ⰽ"", 0.9493), (""Ⱝ"", 0.9322), (""Ⱅ"", 0.9280), (""Ⱎ"", 0.9277), (""Ⱋ"", 0.9270), (""Ⱛ"", 0.9264), (""Ⱉ"", 0.9263)]"
4;Ⰾ;Ⰾ;0.991309;"[(""Ⰾ"", 0.9913), (""Ⰴ"", 0.9862), (""Ⰶ"", 0.9832), (""Ⰸ"", 0.9590), (""Ⰳ"", 0.9566), (""Ⱞ"", 0.9428), (""Ⰷ"", 0.9428), (""Ⱖ"", 0.9385), (""Ⱚ"", 0.9376), (""Ⱑ"", 0.9360)]"
5;Ⱓ;Ⱓ;0.97832;"[(""Ⱓ"", 0.9783), (""Ⰽ"", 0.8994), (""Ⱂ"", 0.8962), (""Ⰺ"", 0.8961), (""Ⱘ"", 0.8950), (""Ⰱ"", 0.8945), (""Ⱅ"", 0.8920), (""Ⰿ"", 0.8907), (""Ⰻ"", 0.8874), (""Ⰹ"", 0.8853)]"
6;Ⱅ;Ⱅ;0.982647;"[(""Ⱅ"", 0.9826), (""Ⰻ"", 0.9771), (""Ⰿ"", 0.9659), (""Ⱋ"", 0.9565), (""Ⰺ"", 0.9545), (""Ⱐ"", 0.9415), (""Ⱉ"", 0.9410), (""Ⰼ"", 0.9368), (""Ⱟ"", 0.9350), (""Ⱝ"", 0.9307)]"
7;Ⰵ;Ⰵ;0.991963;"[(""Ⰵ"", 0.9920), (""Ⱏ"", 0.9632), (""Ⱐ"", 0.9488), (""Ⱊ"", 0.9384), (""Ⰼ"", 0.9145), (""Ⱉ"", 0.9125), (""Ⱄ"", 0.9095), (""Ⱍ"", 0.9087), (""Ⰻ"", 0.9083), (""Ⱖ"", 0.9018)]"
8;Ⰱ;Ⰱ;0.983446;"[(""Ⰱ"", 0.9834), (""Ⱘ"", 0.9582), (""Ⱟ"", 0.9540), (""Ⰽ"", 0.9493), (""Ⱝ"", 0.9322), (""Ⱅ"", 0.9280), (""Ⱎ"", 0.9277), (""Ⱋ"", 0.9270), (""Ⱛ"", 0.9264), (""Ⱉ"", 0.9263)]"
9;Ⱑ;Ⱑ;0.98317;"[(""Ⱑ"", 0.9832), (""Ⰶ"", 0.9374), (""Ⱈ"", 0.9260), (""Ⰴ"", 0.9244), (""Ⰾ"", 0.9238), (""Ⰸ"", 0.9161), (""Ⱖ"", 0.9107), (""Ⱄ"", 0.9016), (""Ⰳ"", 0.8919), (""Ⱞ"", 0.8909)]"
