time_start;time_end;freq_start;freq_end;energy
4.0;4.1000000000000005;500.0;550.0;0.20098675787448883
2.6;2.7;350.0;400.0;0.1756836473941803
0.6000000000000001;0.7000000000000001;200.0;250.0;0.17492693662643433
1.3;1.4000000000000001;250.0;300.0;0.16814488172531128
3.3000000000000003;3.4000000000000004;400.0;450.0;0.1629549115896225
2.0;2.1;300.0;350.0;0.1419232338666916
1.9000000000000001;2.0;300.0;350.0;0.14016850292682648
0.7000000000000001;0.8;200.0;250.0;0.12048973143100739
2.7;2.8000000000000003;350.0;400.0;0.11503462493419647
1.4000000000000001;1.5;250.0;300.0;0.09648429602384567
3.4000000000000004;3.5;400.0;450.0;0.0917297825217247
3.9000000000000004;4.0;500.0;550.0;0.08984515815973282
